Bond_ID         l0         kb
      1   0.758130   1.148492
      2   0.314847   1.782174
      3   0.879240   1.066464
      4   0.600955   1.289969
      5   1.549396   0.803376
      6   0.650097   1.240255
      7   1.021149   0.989590
      8   0.735530   1.166003
      9   0.627875   1.262012
     10   1.815537   0.742160
     11   0.333647   1.731237
     12   0.769863   1.139707
     13   0.589560   1.302375
     14   0.491088   1.426988
     15   0.379472   1.623342
     16   0.739035   1.163235
     17   0.955427   1.023060
     18   0.302643   1.817751
     19   0.575599   1.318075
     20   1.266970   0.888417
     21   1.293974   0.879098
     22   1.251812   0.893780
     23   0.764898   1.143400
     24   0.684878   1.208351
     25   0.992066   1.003991
     26   0.694091   1.200305
     27   0.619298   1.270721
     28   0.434791   1.516561
     29   0.742962   1.160157
     30   1.619866   0.785707
     31   0.630670   1.259212
     32   1.316596   0.871513
     33   0.631113   1.258770
     34   0.916790   1.044396
     35   0.425891   1.532324
     36   0.905310   1.050997
     37   0.945094   1.028638
     38   1.153569   0.931061
     39   0.903902   1.051815
     40   0.546573   1.352621
     41   1.722282   0.761988
     42   0.949906   1.026029
     43   0.557261   1.339587
     44   0.873344   1.070058
     45   1.374364   0.853000
     46   0.714917   1.182694
     47   0.625494   1.264411
     48   0.807708   1.112686
     49   0.858572   1.079224
     50   0.566696   1.328388
     51   1.500356   0.816400
     52   0.691561   1.202499
     53   0.983493   1.008357
     54   0.448482   1.493232
     55   0.793069   1.122909
     56   1.989218   0.709020
     57   0.534488   1.367826
     58   0.329117   1.743111
     59   0.663496   1.227667
     60   0.421240   1.540761
     61   8.103959   0.351278
     62   1.030405   0.985136
     63   0.731450   1.169251
     64   0.477008   1.447896
     65   0.576811   1.316689
     66   0.533546   1.369033
     67   0.849353   1.085065
     68   0.836326   1.093483
     69   0.894859   1.057116
     70   0.743499   1.159738
     71   0.416774   1.548993
     72   0.494786   1.421646
     73   0.309574   1.797289
     74   0.559686   1.336681
     75   0.592060   1.299623
     76   0.443045   1.502367
     77   0.881230   1.065259
     78   0.818745   1.105161
     79   0.563789   1.331808
     80   0.523009   1.382756
     81   0.664544   1.226699
     82   1.077073   0.963557
     83   0.759963   1.147106
     84   0.607362   1.283146
     85   0.449955   1.490787
     86   0.320582   1.766163
     87   1.166259   0.925982
     88   1.368620   0.854788
     89   0.865907   1.074643
     90   1.300008   0.877055
     91   0.760838   1.146447
     92   1.349396   0.860856
     93   0.752373   1.152878
     94   0.831516   1.096641
     95   0.416770   1.549001
     96   0.495913   1.420029
     97   0.361145   1.664022
     98   0.752255   1.152969
     99   0.930416   1.036720
    100   1.669128   0.774025
    101   0.790451   1.124767
    102   0.510244   1.399945
    103   3.182879   0.560518
