bond_ID        node1     node2
         1         1       128
         2         1       157
         3         1        48
         4         1       471
         5         1       193
         6         2       488
         7         2        96
         8         2       495
         9         3        86
        10         3        13
        11         3       452
        12         3       103
        13         3       284
        14         4       342
        15         4       353
        16         4       315
        17         4       242
        18         5       257
        19         5       123
        20         5       335
        21         5       474
        22         5       185
        23         5       137
        24         5       367
        25         5       247
        26         6       246
        27         6       486
        28         6       434
        29         6        89
        30         6        58
        31         6       139
        32         6       266
        33         7       332
        34         7       217
        35         7       353
        36         7       242
        37         7       208
        38         7        63
        39         7        11
        40         7       478
        41         7       382
        42         8       220
        43         8       276
        44         8       448
        45         8       385
        46         8       429
        47         8       301
        48         8       173
        49         8       450
        50         9       213
        51         9       180
        52         9       225
        53         9       420
        54         9       391
        55        10       398
        56        10        87
        57        10       421
        58        11       332
        59        11       217
        60        11       208
        61        11       302
        62        11       287
        63        11       268
        64        11       310
        65        12       413
        66        12       433
        67        12       276
        68        12        94
        69        12       289
        70        12       385
        71        12       505
        72        13       143
        73        13       495
        74        13       464
        75        13        86
        76        13       165
        77        13       103
        78        14       377
        79        14       231
        80        14       238
        81        14       310
        82        14       223
        83        14        93
        84        14        25
        85        15       489
        86        15       477
        87        15       194
        88        15       324
        89        16       416
        90        16       146
        91        16       202
        92        16        54
        93        16        20
        94        16       498
        95        16       458
        96        17       502
        97        17       447
        98        18       357
        99        18       395
       100        18       168
       101        18       436
       102        18       198
       103        18       453
       104        19       488
       105        19       209
       106        19        81
       107        20       146
       108        20       498
       109        20       125
       110        20       458
       111        21        84
       112        21       499
       113        21       309
       114        21       320
       115        21       220
       116        21       102
       117        21       318
       118        22       337
       119        22       494
       120        22        45
       121        23        48
       122        23       272
       123        23       117
       124        23       193
       125        23       395
       126        23       436
       127        24       325
       128        24       307
       129        24       257
       130        24       123
       131        24       396
       132        24       397
       133        24       335
       134        25       419
       135        25       500
       136        25       223
       137        25        93
       138        25       502
       139        25       404
       140        25       303
       141        25       188
       142        26       230
       143        26        34
       144        26       452
       145        27       326
       146        27       280
       147        27        73
       148        27       425
       149        27        44
       150        27       233
       151        28       358
       152        28       408
       153        28        35
       154        28       304
       155        28       390
       156        28       417
       157        28       332
       158        28       277
       159        29       473
       160        29       457
       161        29       265
       162        29       213
       163        29        57
       164        29       204
       165        29       391
       166        30       488
       167        30       158
       168        30       143
       169        30        33
       170        30       495
       171        31       169
       172        31       225
       173        31       394
       174        31        68
       175        32       151
       176        32       347
       177        32       312
       178        32       110
       179        32       360
       180        32       349
       181        32       199
       182        33       158
       183        33       209
       184        33       325
       185        33       218
       186        34       293
       187        34       100
       188        34       183
       189        34       510
       190        34       329
       191        34       121
       192        35       358
       193        35       408
       194        35       234
       195        35       130
       196        35       469
       197        35       390
       198        35       417
       199        36       415
       200        36       443
       201        36       203
       202        36       388
       203        36       235
       204        36       120
       205        36       369
       206        36       365
       207        37       204
       208        37        68
       209        37       391
       210        37       346
       211        37       239
       212        37       141
       213        38       113
       214        38       377
       215        38       231
       216        38       441
       217        38       126
       218        38       184
       219        38        55
       220        38       401
       221        38       444
       222        39        82
       223        39       292
       224        39       343
       225        40       356
       226        40        78
       227        40       276
       228        40       102
       229        40       318
       230        40       172
       231        40       353
       232        40       315
       233        41       316
       234        41       273
       235        41       270
       236        41       320
       237        41       322
       238        41       283
       239        42       118
       240        42        65
       241        42       298
       242        42       490
       243        42       511
       244        42       487
       245        43       463
       246        43       348
       247        43       501
       248        43       197
       249        43       460
       250        44       443
       251        44       326
       252        44        71
       253        44       426
       254        44       280
       255        44        73
       256        44       150
       257        44       384
       258        45       337
       259        45       224
       260        45        67
       261        45       483
       262        45       409
       263        45       323
       264        45       369
       265        46       491
       266        46       228
       267        46       201
       268        46       109
       269        47        55
       270        47       223
       271        47       491
       272        47       258
       273        47       496
       274        47       201
       275        47       109
       276        48       157
       277        48        99
       278        48       479
       279        48       306
       280        48       193
       281        49       393
       282        49       149
       283        49       439
       284        49        75
       285        49        61
       286        49       160
       287        50       137
       288        50       367
       289        50       270
       290        50        52
       291        50       116
       292        50       430
       293        50       385
       294        50       473
       295        51       170
       296        51       138
       297        51       281
       298        52       262
       299        52       114
       300        52       339
       301        52        64
       302        52        56
       303        52       211
       304        53       386
       305        53       350
       306        53       438
       307        53       418
       308        53       401
       309        53        93
       310        54       202
       311        54       301
       312        54       498
       313        54       393
       314        54       450
       315        54       458
       316        54       504
       317        55       231
       318        55       279
       319        55       223
       320        55       404
       321        55       444
       322        56        64
       323        56       473
       324        56       344
       325        56       457
       326        56       211
       327        57       344
       328        57       457
       329        57       387
       330        57       169
       331        57       180
       332        57       225
       333        58       312
       334        58       198
       335        58       246
       336        58       129
       337        58       434
       338        58       453
       339        58       144
       340        59       248
       341        59       379
       342        59       245
       343        59       175
       344        60       197
       345        60       164
       346        60       399
       347        60       363
       348        60       358
       349        60       133
       350        60       234
       351        61       428
       352        61       160
       353        62       396
       354        62       316
       355        62       506
       356        62       273
       357        62       247
       358        63       469
       359        63       332
       360        63       353
       361        63       208
       362        63       268
       363        64        87
       364        64       440
       365        64       132
       366        64       163
       367        64       274
       368        64       161
       369        64       361
       370        65       252
       371        65       118
       372        65        90
       373        65       298
       374        65       386
       375        65       500
       376        66       393
       377        66       321
       378        66       435
       379        66       504
       380        66       423
       381        66       160
       382        66       465
       383        67       402
       384        67       415
       385        67       121
       386        67       389
       387        67       224
       388        67       203
       389        67       369
       390        68       204
       391        68       394
       392        68        89
       393        68       346
       394        68       139
       395        69       437
       396        69       416
       397        69       146
       398        70       242
       399        70       462
       400        70       327
       401        70       382
       402        70       354
       403        70       375
       404        71       255
       405        71       443
       406        71       326
       407        71        73
       408        72       465
       409        72       374
       410        73       426
       411        74       334
       412        74       506
       413        74       185
       414        74       292
       415        74       262
       416        74       148
       417        74       116
       418        75       149
       419        75       482
       420        75       454
       421        76       309
       422        76       264
       423        76       146
       424        76       498
       425        77       263
       426        77       440
       427        77       300
       428        77        83
       429        77       161
