Node_ID          x          y          z
      1   3.344870   0.245874   5.109078
      2   0.493342   0.088287   1.243082
      3   2.488002  -0.227725   2.199194
      4   2.368152   6.785800   2.969744
      5   2.305390   2.624881   2.498282
      6   5.187535   2.766613   6.889797
      7   4.314216   6.286426   3.089380
      8   2.241855   4.522183   4.497977
      9   1.463114   3.427679   6.223659
     10   2.568366   0.396206   4.132079
     11   5.006478   5.677119   3.595180
     12   2.939723   3.581541   3.222162
     13   1.830735  -0.300230   1.862233
     14   5.424469   5.183230   4.800137
     15   6.718296   4.501647   2.226571
     16   1.063860   5.739201   4.035436
     17   5.720958   7.057711   6.465680
     18   5.825321   1.022969   5.320967
     19   0.671436   1.700928   0.651923
     20   0.416463   6.691104   4.097764
     21   2.101805   4.695577   2.600357
     22   4.858127   0.008050   2.780111
     23   4.409254   1.334259   4.821430
     24   2.060582   2.723324   1.620152
     25   4.908987   6.345545   4.627612
     26   3.591072   0.166527   0.269779
     27   5.671920   4.551249   0.024257
     28   4.675235   5.722781   1.968888
     29   1.843689   3.178466   5.677967
     30   1.527184   0.270749   1.059787
     31   2.994291   3.189103   6.713215
     32   7.113756   1.860447   5.328115
     33   1.109689   1.434212   0.545458
     34   3.498185   1.037400   1.035222
     35   4.109862   6.687271   1.321208
     36   5.257468   1.739062   1.502467
     37   2.893534   4.007102   6.530739
     38   4.109460   4.344162   5.067924
     39   0.375527   0.539492   4.005869
     40   2.376434   5.045527   2.936472
     41   0.528445   3.108590   2.845036
     42   6.996218   5.963617   3.997864
     43   2.597557   5.000684  -0.204163
     44   5.503900   3.893085   1.141528
     45   4.649965   0.838395   2.830962
     46   4.716219   6.648927   6.392510
     47   4.612680   6.268108   5.707999
     48   3.754317   0.993453   4.468121
     49   0.167870   6.130980   6.097144
     50   1.886686   3.690619   4.003681
     51   1.169828   3.898009   0.032612
     52   2.219041   2.459505   4.228267
     53   6.261840   5.108146   5.392587
     54   1.403786   6.186913   4.687415
     55   4.753328   5.145086   5.139292
     56   1.901774   2.503649   5.529027
     57   2.575924   2.872918   6.383515
     58   5.575926   2.613914   6.224086
     59   6.344379  -0.142500   4.159726
     60   4.130067   4.904821   0.442453
     61   0.564798   6.253830   7.440566
     62   0.693861   2.791549   2.551862
     63   3.785546   6.697382   2.442465
     64   2.320201   1.597695   4.512258
     65   6.590633   5.072685   3.615339
     66   2.027518   6.292710   6.160736
     67   4.996554   1.349863   1.931891
     68   3.408789   3.307808   7.199326
     69  -0.133966   6.261191   2.589371
     70   3.529786   7.131422   4.260538
     71   4.703033   3.285059   0.421531
     72   1.562338   6.672607   6.550145
     73   4.950652   4.305031   0.102054
     74   0.696087   2.285797   3.445958
     75   0.771609   5.087400   6.305292
     76   1.491274   5.992549   2.625643
     77   1.039169   1.559451   5.331819
     78   2.891413   5.495189   1.675989
     79  -0.104644   0.262533   5.240243
     80   3.804440   7.139120   1.435335
     81   0.430427   2.746250   0.864778
     82   0.419899   0.121655   3.212495
     83   1.482838   0.807941   5.980173
     84   1.810937   3.839730   1.929455
     85   4.588508   0.747187   6.403510
     86   2.344837   0.857224   1.570654
     87   2.054008   0.878558   4.206124
     88   3.732340   0.541300   3.249253
     89   4.057323   2.854708   6.643172
     90   6.106040   5.180441   2.545431
     91   2.273685   5.334624   4.855030
     92   3.527721   1.691990   3.616081
     93   6.291133   5.926033   4.686170
     94   2.263033   4.018825   2.482853
     95   0.344812   2.550182   7.184411
     96   0.439513   0.448917   0.323116
     97   0.112594   7.149630   0.371280
     98   5.233802   1.492333   3.590959
     99   5.017739   0.995863   4.061690
    100   3.850957   0.339620   0.312911
    101   6.798576   1.721294   7.307140
    102   3.454669   4.605072   2.646487
    103   1.661919   0.444463   2.605004
    104   1.415812   5.361231   0.825797
    105   1.954002   7.095439   3.307355
    106   2.904953   6.592329   0.520778
    107   7.132201   5.192588   2.165159
    108   2.383621   3.651860   0.811245
    109   5.054102   7.461658   6.234476
    110   6.326606   1.885043   5.406107
    111   7.092899   4.448706   0.497088
    112   0.054876   4.011591   5.851051
    113   4.336465   4.787191   4.159063
    114   3.442022   1.971355   3.535481
    115   7.553539   1.157906   3.091646
    116   1.242429   2.826667   3.971078
    117   4.159402   2.198265   4.509446
    118   7.366008   5.365295   3.172984
    119   1.008921   0.436771   6.619552
    120   5.492324   2.277301   1.847291
    121   4.283185   0.347535   1.515113
    122   0.879234   4.577972   1.432457
    123   1.079438   2.162416   2.355138
    124   1.068202   6.318971   1.914280
    125   1.364458   6.894391   4.699775
    126   4.766955   4.709661   5.954009
    127  -0.125361   3.938779   2.865714
    128   2.894277   0.828295   4.227723
    129   5.521184   3.264890   5.036178
    130   5.042042   6.000761   0.938086
    131   5.853647   4.675349   7.238413
    132   3.096281   1.698698   4.806597
    133   4.576277   4.869791  -0.090072
    134   2.797940   6.406658   6.540288
    135   3.341317   1.516141   5.937733
    136   6.817395   4.593750   6.511598
    137   2.410633   2.308145   3.591884
    138   1.514207   4.327616   0.651786
    139   4.550393   3.807312   6.578975
    140   5.482799   5.717400   2.427488
    141   3.690876   5.019372   6.411201
    142   6.480807   1.739298   2.580028
    143   1.976050   0.990078   1.283384
    144   5.778194   2.492666   7.366885
    145   0.187926   2.625307   6.268256
    146   0.665835   5.934261   3.278632
    147   6.474731   3.718046   0.950512
    148   0.423362   2.650999   4.659831
    149   0.402952   4.841336   5.706800
    150   4.106916   3.189785   1.832224
    151   6.893823   2.554307   5.103040
    152   6.577339   6.855252   1.151668
    153   5.903235   0.626873   7.136709
    154   7.289205   2.615288   2.857140
    155   3.947744   2.741522   5.875698
    156   4.177688   3.064257   0.365669
    157   3.938586   0.158058   3.431004
    158   1.774852   0.522089   0.088059
    159   4.186276   1.377099   3.159781
    160   0.997567   6.025310   6.566769
    161   1.578383   2.406235   5.070764
    162   5.457071   3.864737   3.521771
    163   2.271636   1.368208   5.641351
    164   3.566300   4.033847   0.866839
    165   1.355170   0.361743   3.124269
    166   0.982455   5.092466   2.387887
    167   7.028223   3.552075   6.285803
    168   6.419966   0.848260   5.784635
    169   2.764282   2.125935   7.004472
    170   0.722657   4.702004   0.593085
    171   5.802739   1.832366   3.961084
    172   3.355104   5.464272   3.010120
    173   2.257256   5.286186   3.689192
    174   4.498094   5.897305   0.054244
    175   6.871870   0.049789   5.315812
    176   5.384068   5.997013   6.678691
    177   5.946734   6.735563   2.062676
    178   1.931360   4.102894   2.817214
    179   3.683205   2.678625   2.616769
    180   1.909151   2.781843   6.448281
    181   3.118798   3.241666   2.408228
    182   0.950084   3.174081   4.048967
    183   3.133637   1.169260  -0.223190
    184   3.249768   5.257259   5.145492
    185   1.798832   2.481318   3.220523
    186   6.068949   2.347154   0.064592
    187   5.407621   0.956498   5.904368
    188   6.068249   6.403892   6.002315
    189   5.158492   3.356381   2.904311
    190   6.794700   2.636258   2.244731
    191   6.523779   3.554230   4.489535
    192   6.404849   5.760456   0.732803
    193   3.887252   0.717106   5.468487
    194   6.701916   3.576471   2.191567
    195   5.859432   0.945312   4.694337
    196   0.496054   3.094762   5.597818
    197   3.020969   4.660915   0.798605
    198   5.162759   2.256183   5.314501
    199   6.475168   2.090813   6.187551
    200   6.987970   1.385762   1.852843
    201   5.493445   5.852549   6.592061
    202   0.551630   4.905285   4.632552
    203   4.201800   1.774394   1.076291
    204   3.309324   3.490420   6.092805
    205   3.371784   3.812053   1.805082
    206   5.668228   3.152371   6.172416
    207   1.063974   1.447218   6.651531
    208   4.527017   7.141160   3.620644
    209   0.950648   2.361995   1.136846
    210   2.418443   1.677368   4.272980
    211   3.523953   2.446864   5.157054
    212   6.510021   0.921219   3.503839
    213   1.488599   4.501312   5.441816
    214   6.227999   2.857410   0.895152
    215   4.268249   4.703420   2.211563
    216   2.330158   0.529587   6.326862
    217   3.791453   5.507644   3.548705
    218   1.100955   1.054845   1.281841
    219   4.227392   4.547767   3.713401
    220   1.913818   4.068804   3.637992
    221   1.066840   0.022924   6.202617
    222   0.933000   1.311824   7.225008
    223   5.757423   5.924305   5.318202
    224   5.010822   0.859568   2.178268
    225   2.372978   3.706410   6.958820
    226   0.412670   6.733483   2.137247
    227   4.725429   0.929506   6.761404
    228   4.191975   6.337325   7.284485
    229   5.424486   4.728931   6.432922
    230   3.002173  -0.009080   0.401264
    231   4.155648   5.516108   5.030355
    232   5.457866   4.255783   2.462817
    233   5.379766   5.048221   0.556149
    234   3.826598   6.311712   0.438275
    235   4.547104   2.377421   1.786683
    236   2.416301   2.462480   2.439983
    237   4.716715   5.074770   2.856407
    238   4.785187   5.433175   3.599779
    239   3.041616   4.226252   5.654593
    240   0.877586   7.009892   4.024992
