Time Step,Label Index,Name (NA),Volume (µm³),Equivalent Spherical Diameter (µm),Aspect Ratio,Center Of Mass X (µm),Center Of Mass Y (µm),Center Of Mass Z (µm),Sphericity
0,1,,2431366.676,166.8337631,3.881521378,20569.90251,17381.1923,2771.520412,0.447637396
0,2,,179082537.7,699.3343693,3.363258936,15076.93682,15526.83807,2274.422269,0.22191284
0,3,,264394241.5,796.3141934,1.248207856,18110.37801,18892.33843,1697.33901,0.234169354
0,4,,279550886.1,811.2488303,1.158897713,19278.21745,19020.69437,1794.162311,0.19953502
0,5,,460327501,957.9792443,2.242490326,16574.28862,16190.19089,1830.913543,0.111723632
0,6,,550209273.8,1016.661618,2.523428498,15372.82612,15278.5002,1994.199065,0.102113753
0,7,,336975039.4,863.3754661,1.139023523,16419.94661,17865.41771,1831.690037,0.256681114
0,8,,848546970,1174.606559,1.912705992,14317.41199,17167.08851,2011.397298,0.107252667
0,9,,779832720.6,1142.003961,1.956230219,16548.43431,20698.47341,1961.382662,0.115809518
0,10,,373406142.4,893.4308512,1.245498806,18131.37645,17790.258,1749.2805,0.239586787
0,11,,474459819.8,967.6841012,1.417094343,19093.84032,17614.92173,1846.279364,0.214328679
0,12,,609760872.8,1052.091819,2.455878988,18793.13636,16557.11364,1895.278835,0.121313648
0,13,,205765661.3,732.4726718,1.09130113,16395.93092,20376.70044,3670.332025,0.877682004
0,14,,215941381.1,744.3532417,1.052370219,17041.14727,14177.17007,7871.050039,0.939689316
0,15,,825539037.2,1163.892842,1.834200038,17864.70046,20616.52939,1890.884978,0.123030088
0,16,,223117289.7,752.5087158,1.092479895,16712.19247,20850.71261,4129.433978,0.917176015
0,17,,692489249.6,1097.669182,1.966099013,16516.61173,19765.94345,1958.74876,0.160650939
0,18,,807658361.4,1155.428362,1.997671047,20546.28948,17208.97267,1988.828206,0.127123079
0,19,,756380162.8,1130.439097,2.425319318,15478.27841,17610.03146,1813.030039,0.094636961
0,20,,532716941.3,1005.771431,4.567487079,16484.20732,15428.59634,2223.375398,0.15278895
0,21,,642010250.3,1070.321986,3.196669617,18595.73001,14709.3916,2210.814227,0.140334162
0,22,,277440324.8,809.2020742,1.486064882,15751.62103,15854.73037,2974.271354,0.772334336
0,23,,326045145.6,853.9380631,3.096916997,14476.16552,19524.87903,9354.686341,0.85064582
0,24,,851569293.8,1175.999463,2.069542719,17607.99562,15314.26725,2054.070673,0.106906204
0,25,,552719434.7,1018.205342,2.254254451,15694.46705,19266.11586,2180.055315,0.242918807
0,26,,433773825.2,939.1931289,2.793188821,18404.92163,19582.96895,1974.183617,0.205705849
0,27,,296812463.9,827.6140165,1.158102059,15256.87773,18994.09596,8026.057938,0.930925128
0,28,,294476776,825.4373998,1.04677696,18181.16835,20244.66228,3640.092985,0.904624529
0,29,,308997438.1,838.787762,1.304131497,15036.95959,16528.52893,8664.30707,0.90628059
0,30,,296975680.6,827.7656899,1.027452858,15187.40912,15667.86479,8547.176451,0.927877695
0,31,,304371087.6,834.5805476,1.081278242,18882.67494,18131.27196,7157.058488,0.903401081
0,32,,296142712.4,826.9910494,1.021510591,17478.00534,14096.01543,11772.20897,0.9460413
0,33,,299823531.4,830.4032322,1.166935161,18481.73423,15515.84997,3913.289288,0.881102299
0,34,,312222375.8,841.6957493,1.228296757,18876.94756,17950.46594,7954.389286,0.903782773
0,35,,323208551.2,851.4544247,1.610744028,16939.30363,14728.2538,7224.877358,0.898948227
0,36,,298512169.3,829.1907959,1.060719603,20624.45959,16434.68163,14364.30533,0.958461672
0,37,,309205680.1,838.9761473,1.093187507,18516.08477,17095.03028,7633.221607,0.906713719
0,38,,305265965.6,835.3976609,1.073407771,15706.16433,16895.70177,8980.37116,0.93261725
0,39,,304444253.7,834.6474157,1.078718749,19059.54006,14567.62583,9311.96838,0.933512377
0,40,,304573701.5,834.7656945,1.22955418,13077.52508,16929.31218,12892.40883,0.941699045
0,41,,308924272,838.7215525,1.067546891,17240.71877,16799.24955,12168.07629,0.944886731
0,42,,314963291.5,844.1515833,1.034433174,17336.44626,18519.36865,6645.103084,0.913286778
0,43,,306858735.9,836.8480782,1.068460532,20725.74478,20408.06117,13071.90977,0.950213884
0,44,,314490525.8,843.7290094,1.070337741,17976.51182,18041.57013,2566.879051,0.878268005
0,45,,314670627,843.8900398,1.180085278,18362.21391,15820.38183,13127.86313,0.942154028
0,46,,483695636.3,973.9227612,1.884488495,16551.14471,18730.51138,1965.035706,0.203643469
0,47,,313787005.3,843.0993945,1.142926939,20059.06657,15760.15543,4387.153346,0.907753818
0,48,,324019006.7,852.1655136,1.020694312,16660.35454,16093.17427,5155.176397,0.914245036
0,49,,342057271.1,867.6942805,1.632395317,17072.1387,16606.658,11045.3364,0.917447983
0,50,,316077667.9,845.1459799,1.136560298,15907.62574,13589.79527,11457.15745,0.956318188
0,51,,705552217.3,1104.528296,5.167662655,19277.27685,16031.83846,2045.152592,0.121242267
0,52,,325448560.3,853.4169104,1.03699758,16540.89014,18551.29544,7380.706543,0.913395573
0,53,,321840907.4,850.251762,1.054138654,17624.66823,16135.64423,13389.96086,0.953576757
0,54,,330345062.6,857.6756216,1.236747238,17493.43138,17627.36311,6452.181922,0.890178442
0,55,,322330557.7,850.6827358,1.098704526,15585.0926,14964.78629,4477.028468,0.915941482
0,56,,449189365.3,950.1896184,3.199849713,18904.07934,19645.77049,5567.495593,0.782230163
0,57,,325887557.1,853.800462,1.170914796,17336.31404,18867.52711,12441.41149,0.951444244
0,58,,328622844.6,856.1825578,1.054968344,17576.36161,16312.65493,6429.246755,0.917183412
0,59,,321604524.6,850.0435492,1.060612077,18912.35211,20270.18769,14726.80016,0.973295649
0,60,,328352692.7,855.9478787,1.017527479,18056.08811,17736.46475,9039.528485,0.923796426
0,61,,333249195.1,860.1816274,1.28133026,17758.41833,16367.37638,14217.79296,0.935186034
0,62,,328150078.8,855.7717849,1.047056843,14028.47012,16806.60445,7807.757498,0.937475915
0,63,,330890994.5,858.1478296,1.071380393,17315.29144,17205.47374,8719.092326,0.924949604
0,64,,438124395.6,942.3225947,3.964563586,14022.96786,17526.62702,5086.644943,0.822417303
0,65,,327722338.4,855.3997932,1.041971812,16418.07006,17805.31226,11921.04362,0.945533202
0,66,,331487579.8,858.6632572,1.052418198,16209.7786,15307.98443,6634.86148,0.918974917
0,67,,332849595.4,859.8376749,1.101540247,18106.99055,19114.83605,4954.827181,0.911860558
0,68,,329619029.5,857.0468269,1.036764985,14956.53143,18001.34138,11400.73454,0.940440808
0,69,,329979232,857.3589024,1.014814288,16487.43142,19949.4652,10261.11284,0.942904745
0,70,,334932016,861.6270942,1.028117325,17008.27649,18127.12014,5959.047208,0.905968354
0,71,,330367575.3,857.6951044,1.032197292,16096.57716,15407.19635,10509.03521,0.935219977
0,72,,328679126.2,856.231433,1.136202545,16088.53161,13521.71482,10621.10638,0.948148193
0,73,,358204472.5,881.1383981,1.753016666,18944.21102,17156.39724,4258.498537,0.894911445
0,74,,330609586.3,857.9044883,1.119233909,16727.84159,13409.67015,7582.941078,0.945763476
0,75,,333496834.3,860.3946432,1.173974506,18375.19996,17592.1357,13703.45185,0.947634159
0,76,,331082352.1,858.3132229,1.028589002,20097.26338,16962.83355,5092.385037,0.91199242
0,77,,331290594.1,858.4931373,1.107113181,15879.22826,14543.77373,12416.12162,0.946801279
0,78,,333778242.4,860.6365785,1.027509059,19719.24255,18243.97421,9104.795732,0.9289964
0,79,,335140258,861.8056278,1.048096976,15632.24556,15897.2577,6892.800729,0.917094284
0,80,,336485389.1,862.9570801,1.017794869,17036.82524,19292.52066,4198.67681,0.90750021
0,81,,361924688.6,884.1783211,1.643721768,14873.20372,16916.08909,8003.154879,0.891629477
0,82,,338472130.9,864.6521607,1.154488464,18620.13766,18856.05974,9914.753019,0.935694214
0,83,,330283152.8,857.6220394,1.03953887,14766.17825,21039.56952,11838.15464,0.949427791
0,84,,334718145.8,861.4436584,1.047810273,17579.85155,20308.04491,10623.77791,0.944037511
0,85,,340430731.8,866.3167512,1.055719892,17998.24314,17686.80887,4200.226065,0.906692616
0,86,,336271518.9,862.7742094,1.077626561,15542.87175,14855.31945,8266.093788,0.938825398
0,87,,336108302.2,862.634598,1.058850557,19627.65465,18493.41262,11366.79767,0.945851312
0,88,,331842154.2,858.9693033,1.065764289,15151.29513,13911.79461,14622.62751,0.964723854
0,89,,334594326.2,861.3374229,1.022928291,18509.71659,19874.47141,13019.03324,0.9539196
0,90,,350212480.1,874.5359469,1.398117452,17897.39429,16889.36502,7031.753891,0.907304289
0,91,,337036949.2,863.4283366,1.083153907,14555.73767,17587.70359,10739.7205,0.932676889
0,92,,338556553.3,864.7240425,1.045298096,17417.34099,17291.63766,11467.19207,0.94389946
0,93,,336119558.5,862.6442278,1.055297609,20317.25667,17140.61669,13997.05961,0.959624928
0,94,,336412223,862.8945278,1.052813179,19366.3715,15841.57816,14515.69233,0.954199477
0,95,,343914565.1,869.2619082,1.138067775,19255.19162,17136.8383,5349.103749,0.909078255
0,96,,350994794.9,875.1866505,1.270919306,18065.5611,17031.44257,6245.116489,0.901115536
0,97,,340340681.2,866.2403585,1.059911965,19777.54594,16764.32303,8792.338842,0.93864456
0,98,,880205390.2,1189.036356,2.306355819,15533.43722,16417.79068,2139.158419,0.120591306
0,99,,339153138.7,865.2316672,1.016093763,18005.66365,15516.07862,12414.46368,0.945822185
0,100,,338646603.9,864.8007033,1.186754732,15288.69215,21353.24345,11282.90028,0.943451985
0,101,,340228117.9,866.1448487,1.03339797,19053.28937,19222.64497,2506.296047,0.850051109
0,102,,343368633.2,868.8017076,1.081063902,20029.85526,17348.35862,7058.917095,0.925390041
0,103,,342946520.9,868.4455478,1.055472453,17967.02054,19031.30133,6343.290795,0.909114458
0,104,,342839585.8,868.3552743,1.089992707,14961.83033,16809.15037,9427.448441,0.924286676
0,105,,343284210.8,868.730499,1.037263609,17615.96286,16674.71108,10239.9702,0.938467924
0,106,,342378076.4,867.9654573,1.048688597,18606.61484,15260.34114,10565.93127,0.947367751
0,107,,347859907.8,872.5732971,1.067288113,19337.51319,17355.71046,7616.251197,0.918731625
0,108,,341646415.1,867.3467362,1.031406788,15008.7706,18084.12424,5953.77677,0.926066111
0,109,,347353373,872.1495601,1.167650323,20454.59752,19098.1444,7742.552026,0.920520609
0,110,,341747722.1,867.4324579,1.051356091,19736.61152,15071.50999,12389.77555,0.95333457
0,111,,342192347,867.8084809,1.023332724,19025.95931,20397.86738,10986.56446,0.945900673
0,112,,348979912.3,873.5087686,1.120837962,16882.33626,19265.19231,7012.312162,0.925025716
0,113,,349998609.9,874.357888,1.039270187,18796.84969,18853.06946,4499.058841,0.907002595
0,114,,343469940.2,868.8871425,1.032496677,18996.27854,20344.06545,12461.69104,0.941001015
0,115,,348918002.5,873.4571115,1.209631354,20361.73669,19601.60499,10776.7103,0.94125803
0,116,,341967220.5,867.6181302,1.108168264,19101.19892,14780.98027,5491.418233,0.915895823
0,117,,354095913,877.7565871,1.183702292,18444.51885,17412.13009,5108.580672,0.907456383
0,118,,349480818.9,873.9264976,1.043672488,17178.50103,16290.90829,9578.24747,0.930214268
0,119,,347994983.7,872.6862242,1.081137068,19068.01815,14473.41713,7723.177032,0.927677561
0,120,,346182715,871.1686781,1.01362042,15322.59091,16460.10986,13897.74704,0.950074811
0,121,,350325043.4,874.6296329,1.042916388,16395.30289,19296.93873,4771.322085,0.915977465
0,122,,347342116.7,872.140139,1.064750684,19199.7161,20449.98357,4946.644941,0.927900144
0,123,,350392581.4,874.6858349,1.078539326,14695.88396,17020.6423,3793.065706,0.879777382
0,124,,344111550.8,869.4278404,1.079844387,21751.07318,17499.05031,13776.10633,0.958952687
0,125,,350893487.9,875.1024412,1.046323541,18886.67497,17903.50686,10172.87352,0.932198341
0,126,,351777109.6,875.8363879,1.138030725,16277.31488,16158.70555,10926.31958,0.944299675
0,127,,352306157,876.2752329,1.063272675,18488.11737,18413.58973,8522.593137,0.91396302
0,128,,355688683.3,879.0707071,1.025296863,16295.34678,20385.56889,14008.00593,0.925052016
0,129,,356155820.9,879.4553762,1.167639551,15422.57523,16036.03072,9264.246094,0.92322148
0,130,,353921440,877.6123982,1.028614138,16884.8901,18800.29366,11712.45985,0.941255946
0,131,,357714822.2,880.7367221,1.067400617,17997.38164,16568.63071,9435.802397,0.926118635
0,132,,360720261.6,883.1964301,1.094444501,18490.54216,16230.85656,7764.008631,0.912813344
0,133,,348861720.9,873.4101451,1.035885886,15467.8542,13771.65224,13033.03425,0.947738461
0,134,,352075402.3,876.0838758,1.071865601,18262.87638,20871.21885,5124.185027,0.924963485
0,135,,356172705.4,879.4692736,1.049112553,18922.57642,17985.59357,13017.92346,0.953367588
0,136,,364226607.5,886.0488824,1.056178305,17476.4977,16112.46328,4830.802011,0.901973202
0,137,,360027997.5,882.6310828,1.075723266,18331.39499,18000.48613,12346.86905,0.94031093
0,138,,545065132.2,1013.483291,2.676403859,17419.96818,18851.25628,2063.976037,0.327902222
0,139,,357326478.9,880.4178908,1.069157719,15922.64793,17072.6581,14158.4615,0.946274706
0,140,,354917624.9,878.435034,1.051680283,18672.49969,13496.95423,15380.36776,0.969559526
0,141,,356988789.1,880.1404584,1.051229312,14035.42813,15490.73625,8712.435779,0.930639621
0,142,,359921062.4,882.5436881,1.045778694,17373.85161,18271.90381,10301.37922,0.935116564
0,143,,357067583.4,880.2052083,1.045421882,16181.32023,14401.8121,11629.28446,0.943237074
0,144,,366629833.4,887.9933764,1.084782675,17257.24232,18094.71969,4008.673048,0.883580021
0,145,,361114233,883.5178496,1.09007668,14373.17116,15881.46194,10907.21354,0.943446386
0,146,,364192838.5,886.0214985,1.232547634,20985.49276,17263.01056,13316.6254,0.952095193
0,147,,362329916.4,884.5081871,1.032402106,15416.28739,17705.76497,10663.80185,0.928961027
0,148,,544001409.3,1012.823573,1.825684218,17468.74366,19698.97679,2024.092528,0.21132029
0,149,,359358246,882.0834306,1.019168505,18996.14907,16628.61824,14394.15353,0.958632358
0,150,,360365687.3,882.9069524,1.015876202,18874.63044,15395.14741,12506.28578,0.953855889
0,151,,366702999.5,888.052443,1.143256916,15869.92708,16338.80125,8366.723718,0.921160575
0,152,,377593496.1,896.7580713,1.257576059,18087.56221,16674.20577,11348.12193,0.891237881
0,153,,367040689.3,888.3249563,1.064164461,16193.5568,19823.113,7069.620163,0.913216886
0,154,,361750215.5,884.0362196,1.020301188,14356.7372,17178.16373,9989.677187,0.931080374
0,155,,614556068.2,1054.842525,3.545675115,17395.70585,16257.60627,2190.801995,0.169224478
0,156,,366460988.5,887.8570389,1.032990758,16928.25931,16280.43174,8042.755464,0.931997023
0,157,,357433414.1,880.505708,1.048247875,20397.3065,14520.21996,14570.21419,0.960252604
0,158,,364023993.6,885.8845533,1.108998349,17645.71871,15513.77062,13984.37762,0.954697018
0,159,,359994228.5,882.6034863,1.075572361,16871.00706,20963.49337,5922.95641,0.923957547
