,Theta,O_eff,Ax,Ay,Ax/Ay,Oeff/OeffPERP
0,0.01,0.518615654,1.67005E+13,2.66758E+12,6.260545633,0.569712143
1,20.59764706,1.842036515,2.65472E+13,4.7534E+12,5.584892204,1.258413916
2,41.18529412,1.13691583,9.28306E+12,5.42407E+12,1.71145532,0.82414649
3,61.77294118,2.278360263,8.44379E+12,1.39645E+13,0.604661905,1.208571163
4,82.36058824,4.179554345,5.22637E+12,1.55254E+13,0.336632785,1.423709431
5,102.9482353,3.492637143,8.08648E+12,1.34701E+13,0.600327772,1.534363533
6,123.5358824,1.696390545,9.54527E+12,1.02637E+13,0.930007261,1.090609983
7,144.1235294,1.136704073,1.46494E+13,6.6247E+12,2.211334877,0.877261834
8,164.7111765,2.037557142,1.68973E+13,2.80278E+12,6.028759182,1.946574798
9,185.2988235,0.910311743,1.37005E+13,2.40623E+12,5.693769015,1.7552724
10,205.8864706,1.463776339,1.92852E+13,5.74535E+12,3.356660754,0.794651098
11,226.4741176,1.379506974,7.49329E+12,5.97808E+12,1.253460522,1.213376521
12,247.0617647,1.88516848,1.12703E+13,1.59977E+13,0.704491854,0.82742335
13,267.6494118,2.935679326,5.30789E+12,1.05301E+13,0.50406796,0.702390514
14,288.2370588,2.276277471,9.83254E+12,1.28501E+13,0.765171689,0.651736032
15,308.8247059,1.555451143,9.15037E+12,9.6418E+12,0.949032093,0.916918069
16,329.4123529,1.295740939,1.26505E+13,4.13756E+12,3.057492145,1.139910527
17,350,1.046739711,1.7595E+13,2.44233E+12,7.204174413,0.513722874
,0.01,0.518615654,,,,0.569712143
,20.59764706,1.842036515,,,,1.258413916
,41.18529412,1.13691583,,,,0.82414649
,61.77294118,2.278360263,,,,1.208571163
,82.36058824,4.179554345,,,,1.423709431
,102.9482353,3.492637143,,,,1.534363533
,123.5358824,1.696390545,,,,1.090609983
,144.1235294,1.136704073,,,,0.877261834
,164.7111765,2.037557142,,,,1.946574798
,185.2988235,0.910311743,,,,#DIV/0!
,205.8864706,1.463776339,,,,#DIV/0!
,226.4741176,1.379506974,,,,#DIV/0!
,247.0617647,1.88516848,,,,#DIV/0!
,267.6494118,2.935679326,,,,#DIV/0!
,288.2370588,2.276277471,,,,#DIV/0!
,308.8247059,1.555451143,,,,#DIV/0!
,329.4123529,1.295740939,,,,#DIV/0!
,350,1.046739711,,,,#DIV/0!
